# Construct											
#OTU ID	W1	F1	F2	W2	taxonomy						
Otu2095	29	0	0	3	Bacteria	 Actinobacteria	 Actinobacteria	 Actinomycetales			
Otu2096	6	6	8	4	Bacteria	 Proteobacteria	 Gammaproteobacteria				
Otu2097	0	1	3	0	Bacteria	 Acidobacteria	 Acidobacteria_Gp6	 Unclassified	 Unclassified	 Gp6	
Otu2090	0	0	0	0	Bacteria	 Chloroflexi	 Thermomicrobia	 Sphaerobacterales	 Sphaerobacteraceae		
Otu2091	1	5	2	2	Bacteria	 Actinobacteria	 Actinobacteria	 Acidimicrobiales	 Acidimicrobineae_incertae_sedis	 Aciditerrimonas	 Aciditerrimonas_ferrireducens
Otu2092	8	0	0	0	Bacteria	 Firmicutes	 Clostridia	 Clostridiales	 Clostridiaceae	 Clostridium_sensu_stricto	 Clostridium_tetani
Otu2093	0	1	1	0	Bacteria	 Chloroflexi					
Otu2098	0	0	0	1	Bacteria						
Otu2099	0	0	0	0	Bacteria						
Otu8249	0	0	0	0	Bacteria	 Gemmatimonadetes	 Gemmatimonadetes	 Gemmatimonadales	 Gemmatimonadaceae	 Gemmatimonas	 Gemmatimonas_aurantiaca
Otu8248	0	0	0	0	Bacteria						
Otu8247	0	0	0	0	Bacteria	 Chlamydiae	 Chlamydiia	 Chlamydiales	 Parachlamydiaceae		
Otu8246	0	0	0	0	Bacteria						
Otu8245	1	0	0	2	Bacteria	 Firmicutes					
Otu8244	0	1	0	0	Bacteria	 Proteobacteria					
Otu8243	0	1	0	1	Bacteria	 Proteobacteria	 Gammaproteobacteria	 Legionellales			
Otu8242	0	0	0	0	Bacteria	 Proteobacteria	 Gammaproteobacteria				
Otu8241	2	0	0	3	Bacteria	 Unclassified	 Unclassified	 Unclassified	 Unclassified	 WPS_2	
Otu8240	2	0	0	0	Bacteria	 Chlamydiae	 Chlamydiia	 Chlamydiales			
Otu5518	3	5	7	2	Bacteria	 Proteobacteria	 Deltaproteobacteria	 Myxococcales	 Labilitrichaceae	 Labilithrix	 Labilithrix_luteola
Otu5519	0	1	1	0	Bacteria	 Verrucomicrobia	 Spartobacteria	 Unclassified	 Unclassified	 Spartobacteria	 agricultural_soil
Otu5048	10	1	0	17	Bacteria						
Otu5049	0	0	1	0	Bacteria						
Otu5046	1	0	0	0	Bacteria						
Otu5047	8	7	7	10	Bacteria	 Proteobacteria					
Otu5044	0	0	3	0	Bacteria						
Otu5045	2	0	0	0	Bacteria						
